snake,trialBlock,orderInTrial,snakeName,soundToPlay,roomSideSoundPlayed,dayNumber,tongueFlickCount,freezeBehaviourCount,headJerkCount,cautionaryExplorationBehaviour,timeOfDay,headDirectionWhenLiftedHutch,headMovementLeftDirection,headMovementRightDirection,headMovementTowardSpeaker,headMovementAwayFromSpeaker,headMovementDistanceTotal,Notes,Fixation behaviour?,hissesNumber,lowerJawDrop,parascoping,secondsOfTrial
18,3,18,Casper,2,2,2,42,0,0,no,16:43:00,right,0,0,35,35,70,,0,0,0,0,30
13,3,19,Bright Sister,3,2,2,1,0,0,no,16:50:00,left,5,0,0,0,5,"1 tongue flick at start of trial, then 1 just after trial ended.",0,0,0,0,30
1,4,1,Squishy,2,2,3,5,0,0,no,08:41:00,toward the sound,0,5,0,0,5,seemed to have gone asleep. Haha,0,0,0,0,30
5,4,2,Mawa,2,2,3,48,1,1,no,08:47:00,toward the sound,30,40,30,60,160,"hissed once, sort of mid-way through trial.",0,1,0,0,30
15,4,3,Bitey Boy,3,2,3,4,0,0,no,08:53:00,away from sound,5,5,5,0,15,heavy blueing of the eyes today for a shed.,0,0,0,0,30
12,4,4,Dull Sister,3,2,3,0,0,0,no,08:58:00,right,0,0,0,0,0,,0,0,0,0,30
11,4,5,Glory,1,2,3,0,0,0,no,09:05:00,toward the sound,0,0,0,0,0,,0,0,0,0,30
3,4,6,Fibonacci,0,2,3,33,0,0,yes,09:11:00,away from sound,20,20,80,70,190,three hisses.,0,3,0,0,30
2,4,7,Boss,3,2,3,8,0,0,no,09:18:00,away from sound,0,0,0,0,0,head slightly raised off ground whole trial. ,0,0,0,0,30
6,4,8,Upgrade,2,2,3,28,0,0,no,09:24:00,away from sound,5,100,0,45,150,,0,0,0,0,25
7,4,9,El Diablo,0,2,3,na,na,na,na,09:30:00,na,na,na,na,na,na,mistrial b/c head under body when lifted body.,na,na,na,na,30
7,4,9,El Diablo,0,2,3,4,0,0,no,09:35:00,right,5,0,0,0,5,1 hiss. Dropped lower jaw. Coiled behind head and stayed there thereafter.,0,1,1,0,30
13,4,10,Bright Sister,2,2,3,3,0,0,no,09:40:00,away from sound,0,0,0,5,5,,0,0,0,0,30
10,4,11,Briggs,2,2,3,21,0,0,no,09:46:00,right,20,5,20,0,45,,0,0,0,0,30
14,4,12,Lumpy,3,2,3,24,1,0,no,09:53:00,away from sound,30,0,15,30,75,moderate blueing of the eye for shed,0,0,0,0,30
18,4,13,Casper,0,2,3,40,0,0,no,10:00:00,away from sound,0,20,30,0,50,,0,0,0,0,30
9,4,14,Perth Girl,0,2,3,17,0,0,no,10:53:00,toward the sound,0,10,0,25,35,,0,0,0,0,30
8,4,15,Mr Naughty,2,2,3,3,0,0,no,10:58:00,right,10,0,5,0,15,head eventually turned around to face speaker.,0,0,0,0,30
16,4,16,Dorsal Girl,3,2,3,20,1,0,no,11:03:00,away from sound,10,15,50,5,80,"that 1 freeze-behaviour was right when the sound started, ie. in response to the sound starting.",0,0,0,0,30
19,4,17,Chris' Hoplo,2,2,3,9,0,0,no,11:10:00,left,0,0,0,0,0,,0,0,0,0,30
4,4,18,Lower Jaw,2,2,3,35,0,0,yes,11:15:00,left,30,0,45,25,100,,0,0,0,0,30
17,4,19,Elapid Boy,1,2,3,33,0,7,no,11:23:00,toward the sound,0,20,20,65,105,"this head-flicking behaviour seems to be how he's choosing to move atm. But we're calling it head-flicks and are doing so for every trial for him, obviously regardless of trial type.",0,0,0,0,30
2,5,1,Boss,1,1,3,2,0,0,no,11:32:00,toward the sound,0,0,0,0,0,stopped tongue-flicking immediately when the sound started. ,0,0,0,0,30
19,5,2,Chris' Hoplo,2,1,3,25,0,0,yes,11:38:00,left,0,4,15,5,24,,0,0,0,0,30
7,5,3,El Diablo,1,1,3,25,0,3,no,11:44:00,toward the sound,0,5,0,5,10,"defensive gathering of coils behind head and kept head rised, ready for a strike. Hissed twice. Also dropped lower jaw slightly. ",0,2,1,0,30
3,5,4,Fibonacci,1,1,3,27,0,0,yes,11:52:00,away from sound,20,20,30,40,110,4 hisses.,0,4,0,0,30
1,5,5,Squishy,1,1,3,0,0,0,no,11:58:00,toward the sound,0,0,0,0,0,we think he fell asleep.,0,0,0,0,30
11,5,6,Glory,0,1,3,21,0,0,no,12:04:00,left,20,0,25,0,45,,0,0,0,0,30
14,5,7,Lumpy,2,1,3,49,0,0,yes,12:13:00,left,5,75,35,20,135,,0,0,0,0,30
6,5,8,Upgrade,3,1,3,19,0,0,no,12:19:00,toward the sound,40,40,150,0,230,,0,0,0,0,19
17,5,9,Elapid Boy,2,1,3,24,0,9,yes,12:28:00,away from sound,30,20,65,30,145,"initially, cautionary exploratory, before started to travel. Interesting raising of head (periscoping to get better view of surroundings) into the air on two occasions: 10cm then 30cm next time. ",0,0,0,2,30
18,5,10,Casper,1,1,3,40,0,0,no,13:30:00,left,5,20,20,5,50,,0,0,0,0,30
9,5,11,Perth Girl,3,1,3,0,0,0,no,13:36:00,right,0,0,0,0,0,,0,0,0,0,30
12,5,12,Dull Sister,1,1,3,16,0,0,no,13:43:00,left,10,0,0,35,45,,0,0,0,0,30
4,5,13,Lower Jaw,3,1,3,34,1,1,no,13:49:00,toward the sound,10,0,0,45,55,,0,0,0,0,30
15,5,14,Bitey Boy,0,1,3,0,0,0,no,13:57:00,left,0,0,0,0,0,heavy blueing of the eyes today for a shed.,0,0,0,0,30
10,5,15,Briggs,3,1,3,1,0,0,no,14:01:00,right,0,1,0,0,1,,0,0,0,0,30
16,5,16,Dorsal Girl,0,1,3,4,0,0,no,14:08:00,away from sound,0,0,20,0,20,6cm periscoping of head (looking at the box above her slightly swaying back and forth),0,0,0,1,30
